codigo_guarani,nombre,año,cuatrimestre,taxonomia,horas_semanales,alumnos_esperados,comisiones,tipo_clase,horas_frente_curso,carrera
B5638,Inglés Técnico,2,CUATRIMESTRE_2,D,4,40,1,Teórico/Práctio,4,Ingeniería en Computación
B6002,Física General I,1,CUATRIMESTRE_2,C,8,73,1,Práctico,4,Ingeniería en Computación
B6002,Física General I,1,CUATRIMESTRE_2,C,8,73,2,Teórico,4,Ingeniería en Computación
B6003,Programación I,1,CUATRIMESTRE_2,C,6,120,2,Teórico/Práctio,6,Ingeniería en Computación
B6003,Programación I,1,CUATRIMESTRE_2,C,6,80,2,Teórico,6,Ingeniería en Computación
B6003,Programación I,1,CUATRIMESTRE_2,C,6,100,2,Práctico,6,Ingeniería en Computación
B6004,Electrónica Digital,1,CUATRIMESTRE_2,C,6,120,2,Práctico,6,Ingeniería en Computación
B6005,Química,1,CUATRIMESTRE_2,B,4,100,2,Teórico,8,Ingeniería en Computación
B6005,Química,1,CUATRIMESTRE_2,B,4,100,2,Práctico,8,Ingeniería en Computación
B6010,Matemática III,2,CUATRIMESTRE_2,D,6,10,1,Teórico,6,Ingeniería en Computación
B6010,Matemática III,2,CUATRIMESTRE_2,D,6,30,1,Práctico,3,Ingeniería en Computación
B6011,Física General II,2,CUATRIMESTRE_2,D,8,12,1,Teórico,4,Ingeniería en Computación
B6011,Física General II,2,CUATRIMESTRE_2,D,8,12,1,Práctico,4,Ingeniería en Computación
B6017,Seguridad Ambiental y Laboral,3,CUATRIMESTRE_2,D,6,30,1,Teórico/Práctio,6,Ingeniería en Computación
B6018,Sistemas Operativos I,3,CUATRIMESTRE_2,D,6,19,1,Teórico,6,Ingeniería en Computación
B6019,Señales y Sistemas,3,CUATRIMESTRE_2,D,6,20,1,Teórico,6,Ingeniería en Computación
B6020,Redes de Área Local y Extendida,3,CUATRIMESTRE_2,D,6,20,1,Práctico,6,Ingeniería en Computación
B6025,Inteligencia Artificial,4,CUATRIMESTRE_2,D,6,10,1,Teórico/Práctio,6,Ingeniería en Computación
B6003,Programación I,1,CUATRIMESTRE_2,C,6,47,1,Práctico,6,Ingeniería en Computación
B6003,Programación I,1,CUATRIMESTRE_2,C,6,80,2,Práctico,6,Ingeniería en Computación
B6003,Programación I,1,CUATRIMESTRE_2,C,6,80,2,Teórico,6,Ingeniería en Computación
B6004,Electrónica Digital,1,CUATRIMESTRE_2,C,6,185,2,Teórico,6,Ingeniería en Computación
B6012,Análisis de Circuitos,2,CUATRIMESTRE_2,D,8,30,1,Práctico,4,Ingeniería en Computación
B6012,Análisis de Circuitos,2,CUATRIMESTRE_2,D,8,30,1,Teórico,4,Ingeniería en Computación
B6002,Física General I,1,CUATRIMESTRE_2,C,8,73,2,Teórico,8,Ingeniería en Computación
B6002,Física General I,1,CUATRIMESTRE_2,C,8,73,1,Práctico,4,Ingeniería en Computación
